@relation iris-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Standardize

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.535384,0.797981,-1.280118,-1.046525,Iris-setosa
-0.776911,2.412393,-1.280118,-1.439627,Iris-setosa
-0.414621,2.643024,-1.336794,-1.308593,Iris-setosa
-1.1392,0.10609,-1.280118,-1.439627,Iris-setosa
-1.018437,0.33672,-1.450146,-1.308593,Iris-setosa
-0.414621,1.028611,-1.39347,-1.308593,Iris-setosa
-1.1392,0.10609,-1.280118,-1.439627,Iris-setosa
-1.743017,-0.12454,-1.39347,-1.308593,Iris-setosa
-0.897674,0.797981,-1.280118,-1.308593,Iris-setosa
-1.018437,1.028611,-1.39347,-1.177559,Iris-setosa
-1.622254,-1.738953,-1.39347,-1.177559,Iris-setosa
-1.743017,0.33672,-1.39347,-1.308593,Iris-setosa
-1.018437,1.028611,-1.223442,-0.784457,Iris-setosa
-0.897674,1.720502,-1.053415,-1.046525,Iris-setosa
-1.259964,-0.12454,-1.336794,-1.177559,Iris-setosa
-0.897674,1.720502,-1.223442,-1.308593,Iris-setosa
-1.50149,0.33672,-1.336794,-1.308593,Iris-setosa
-0.656147,1.489872,-1.280118,-1.308593,Iris-setosa
-1.018437,0.567351,-1.336794,-1.308593,Iris-setosa
1.396829,0.33672,0.533509,0.263815,Iris-versicolor
0.672249,0.33672,0.420157,0.394849,Iris-versicolor
1.276066,0.10609,0.64686,0.394849,Iris-versicolor
-0.414621,-1.738953,0.136778,0.132781,Iris-versicolor
0.793012,-0.585801,0.476833,0.394849,Iris-versicolor
-0.173094,-0.585801,0.420157,0.132781,Iris-versicolor
0.551486,0.567351,0.533509,0.525883,Iris-versicolor
-1.1392,-1.508322,-0.259953,-0.260321,Iris-versicolor
0.913776,-0.355171,0.476833,0.132781,Iris-versicolor
-0.776911,-0.816431,0.080102,0.263815,Iris-versicolor
-1.018437,-2.430844,-0.146601,-0.260321,Iris-versicolor
0.068433,-0.12454,0.250129,0.394849,Iris-versicolor
0.189196,-1.969583,0.136778,-0.260321,Iris-versicolor
0.309959,-0.355171,0.533509,0.263815,Iris-versicolor
-0.293857,-0.355171,-0.089926,0.132781,Iris-versicolor
1.034539,0.10609,0.363481,0.263815,Iris-versicolor
-0.293857,-0.12454,0.420157,0.394849,Iris-versicolor
-0.052331,-0.816431,0.193454,-0.260321,Iris-versicolor
0.430722,-1.969583,0.420157,0.394849,Iris-versicolor
-0.293857,-1.277692,0.080102,-0.129287,Iris-versicolor
0.068433,0.33672,0.590184,0.787951,Iris-versicolor
0.309959,-0.585801,0.136778,0.132781,Iris-versicolor
0.551486,-1.277692,0.64686,0.394849,Iris-versicolor
0.309959,-0.585801,0.533509,0.001747,Iris-versicolor
0.672249,-0.355171,0.306805,0.132781,Iris-versicolor
0.913776,-0.12454,0.363481,0.263815,Iris-versicolor
1.155302,-0.585801,0.590184,0.263815,Iris-versicolor
1.034539,-0.12454,0.703536,0.656917,Iris-versicolor
0.189196,-0.355171,0.420157,0.394849,Iris-versicolor
-0.173094,-1.047062,-0.146601,-0.260321,Iris-versicolor
-0.414621,-1.508322,0.023426,-0.129287,Iris-versicolor
-0.414621,-1.508322,-0.03325,-0.260321,Iris-versicolor
-0.052331,-0.816431,0.080102,0.001747,Iris-versicolor
0.189196,-0.816431,0.760212,0.525883,Iris-versicolor
-0.535384,-0.12454,0.420157,0.394849,Iris-versicolor
0.189196,0.797981,0.420157,0.525883,Iris-versicolor
1.034539,0.10609,0.533509,0.394849,Iris-versicolor
0.551486,-1.738953,0.363481,0.132781,Iris-versicolor
-0.293857,-0.12454,0.193454,0.132781,Iris-versicolor
-0.414621,-1.277692,0.136778,0.132781,Iris-versicolor
-0.414621,-1.047062,0.363481,0.001747,Iris-versicolor
0.309959,-0.12454,0.476833,0.263815,Iris-versicolor
-0.052331,-1.047062,0.136778,0.001747,Iris-versicolor
-1.018437,-1.738953,-0.259953,-0.260321,Iris-versicolor
-0.293857,-0.816431,0.250129,0.132781,Iris-versicolor
-0.173094,-0.12454,0.250129,0.001747,Iris-versicolor
-0.173094,-0.355171,0.250129,0.132781,Iris-versicolor
0.430722,-0.355171,0.306805,0.132781,Iris-versicolor
-0.897674,-1.277692,-0.429981,-0.129287,Iris-versicolor
-0.173094,-0.585801,0.193454,0.132781,Iris-versicolor
0.551486,0.567351,1.270294,1.705189,Iris-virginica
-0.052331,-0.816431,0.760212,0.918985,Iris-virginica
1.517592,-0.12454,1.213619,1.181053,Iris-virginica
0.551486,-0.355171,1.043591,0.787951,Iris-virginica
0.793012,-0.12454,1.156943,1.312087,Iris-virginica
2.121409,-0.12454,1.610349,1.181053,Iris-virginica
-1.1392,-1.277692,0.420157,0.656917,Iris-virginica
1.759119,-0.355171,1.440322,0.787951,Iris-virginica
1.034539,-1.277692,1.156943,0.787951,Iris-virginica
1.638355,1.259242,1.32697,1.705189,Iris-virginica
0.793012,0.33672,0.760212,1.050019,Iris-virginica
0.672249,-0.816431,0.873564,0.918985,Iris-virginica
1.155302,-0.12454,0.986915,1.181053,Iris-virginica
-0.173094,-1.277692,0.703536,1.050019,Iris-virginica
-0.052331,-0.585801,0.760212,1.574155,Iris-virginica
0.672249,0.33672,0.873564,1.443121,Iris-virginica
0.793012,-0.12454,0.986915,0.787951,Iris-virginica
2.242172,1.720502,1.667025,1.312087,Iris-virginica
2.242172,-1.047062,1.780377,1.443121,Iris-virginica
0.189196,-1.969583,0.703536,0.394849,Iris-virginica
1.276066,0.33672,1.100267,1.443121,Iris-virginica
-0.293857,-0.585801,0.64686,1.050019,Iris-virginica
2.242172,-0.585801,1.667025,1.050019,Iris-virginica
0.551486,-0.816431,0.64686,0.787951,Iris-virginica
1.034539,0.567351,1.100267,1.181053,Iris-virginica
1.638355,0.33672,1.270294,0.787951,Iris-virginica
0.430722,-0.585801,0.590184,0.787951,Iris-virginica
0.309959,-0.12454,0.64686,0.787951,Iris-virginica
0.672249,-0.585801,1.043591,1.181053,Iris-virginica
1.638355,-0.12454,1.156943,0.525883,Iris-virginica
1.879882,-0.585801,1.32697,0.918985,Iris-virginica
2.483699,1.720502,1.496998,1.050019,Iris-virginica
0.672249,-0.585801,1.043591,1.312087,Iris-virginica
0.551486,-0.585801,0.760212,0.394849,Iris-virginica
0.309959,-1.047062,1.043591,0.263815,Iris-virginica
2.242172,-0.12454,1.32697,1.443121,Iris-virginica
0.551486,0.797981,1.043591,1.574155,Iris-virginica
0.672249,0.10609,0.986915,0.787951,Iris-virginica
0.189196,-0.12454,0.590184,0.787951,Iris-virginica
1.276066,0.10609,0.930239,1.181053,Iris-virginica
1.034539,0.10609,1.043591,1.574155,Iris-virginica
1.276066,0.10609,0.760212,1.443121,Iris-virginica
-0.052331,-0.816431,0.760212,0.918985,Iris-virginica
1.155302,0.33672,1.213619,1.443121,Iris-virginica
1.034539,0.567351,1.100267,1.705189,Iris-virginica
1.034539,-0.12454,0.816888,1.443121,Iris-virginica
0.551486,-1.277692,0.703536,0.918985,Iris-virginica
0.793012,-0.12454,0.816888,1.050019,Iris-virginica
0.430722,0.797981,0.930239,1.443121,Iris-virginica
0.068433,-0.12454,0.760212,0.787951,Iris-virginica
